file,title,word_count,proposed_tags,category,draft_if_short
2018-09-28-come-and-be-my-tech-buddy-ill-help-you-debug.md,Come and be my tech buddy! I'll help you debug ...,29,technology;come;buddy;i'll;help,Engineering & Product,yes
2018-10-10-very-interesting-panel-discussion-yesterday-at.md,Very interesting panel discussion yesterday at ...,221,panel;interesting;discussion,Events & Community,no
2018-11-07-together-with-my-colleagues-at-emakinanl-were.md,Together with my colleagues at Emakina.NL we're...,50,team;together;emakina;we're,Leadership & Culture,no
2019-03-16-as-in-many-other-cities-housing-in-amsterdam-i.md,"As in many other cities, housing in Amsterdam i...",141,amsterdam;other;cities;housing,Work & Life,no
2019-04-28-when-working-in-a-remote-environment-its-so-ea.md,When working in a remote environment it's so ea...,80,remote-work;working;environment;it's,Work & Life,no
2019-11-07-first-month-at-vanmoof-first-bike-recovered-fr.md,"First month at VanMoof, first bike recovered fr...",85,bike;first;month;vanmoof;recovered,Work & Life,no
2019-11-25-based-on-the-of-people-that-i-know-that-work.md,Based on the % of people that I know that work ...,52,based;people;work,General,no
2020-01-30-whos-up-to-the-challenge-of-helping-people-get.md,Who's up to the challenge of helping people get...,63,who's;challenge;helping;people;get,General,no
2020-04-10-very-nice-open-source-project-for-diy-de-contam.md,Very nice open source project for DIY de-contam...,12,open;source;project;diy;contam,General,yes
2020-05-06-it-felt-that-participating-in-the-launch-of-the.md,It felt that participating in the launch of the...,154,felt;participating;launch,General,no
2020-05-29-uncertain-times-ahead-covid19-changing-everyth.md,"Uncertain times ahead, covid19 changing everyth...",105,uncertain;times;ahead;covid;changing,General,no
2020-09-21-being-a-direct-b2c-company-where-we-sell-our-bi.md,Being a direct B2C company where we sell our bi...,66,company;direct;sell,General,no
2020-11-04-do-you-have-some-experience-in-frontend-and-you.md,Do you have some experience in frontend and you...,77,experience;frontend,General,no
2021-01-11-for-me-the-key-is-this-point-remaining-techni.md,For me the key is this point: \,113,key;point,General,no
2021-02-16-were-on-the-hunt-again-for-some-good-developers.md,We're on the hunt again for some good developers!,102,developer;we're;hunt;again,Engineering & Product,no
2021-02-17-by-the-way-if-customer-facing-systems-are-you.md,By the way - if customer-facing systems are you...,34,systems;way;customer;facing,Engineering & Product,yes
2021-04-09-nice-to-chat-about-and-everything-around.md,Nice to chat about ☁️ and everything around!,31,chat;everything;around,General,yes
2021-04-14-probably-the-most-undervalued-skills-of-a-devel.md,Probably the most undervalued skills of a devel...,197,probably;undervalued;skills;devel,General,no
2021-04-19-this-is-why-you-cannot-have-a-team-of-only-supe.md,This is why you cannot have a team of only supe...,87,team;cannot;supe,Leadership & Culture,no
2021-04-28-after-1-year-and-a-half-my-relationship-with-va.md,After 1 year and a half my relationship with Va...,208,year;half;relationship,General,no
2021-05-17-hey-amsterdam-network.md,Hey Amsterdam network ❌❌❌,109,amsterdam;hey;network,Work & Life,yes
2021-06-01-for-short-journeys-bikeisbest-and-how-many.md,For short journeys #bikeisbest :-)And how many ...,18,short;journeys;bikeisbest,General,yes
2021-06-04-fun-fact-about-denmark-birthdays-are-celebrate.md,Fun fact about Denmark: birthdays are celebrate...,86,denmark;fun;fact;birthdays;celebrate,Work & Life,no
2021-06-14-a-very-interesting-article-by-segment-about-dua.md,A very interesting article by Segment about dua...,130,interesting;article;segment;dua,General,no
2021-08-12-i-love-the-ad-that-our-colleagues-in-chile-have.md,I love the ad that our colleagues in Chile have...,69,team;chile,Leadership & Culture,no
2021-09-28-a-reflection-on-one-of-the-changes-that-you-exp.md,A reflection on one of the changes that you exp...,144,reflection;changes;exp,General,no
2021-09-30-how-much-do-you-like-these-kind-of-posts-that-p.md,How much do you like these kind of posts that p...,46,like;kind;posts,General,no
2021-10-06-do-you-know-that-feeling-that-you-get-sometimes.md,Do you know that feeling that you get sometimes...,133,feeling;get;sometimes,General,no
2021-10-11-ive-liked-this-talk-from-randy-shoup-about-how.md,I've liked this talk from Randy Shoup about how...,93,talk;i've;randy;shoup,Events & Community,no
2021-11-18-proud-to-contribute-to-this-cause-and-for-the-o.md,Proud to contribute to this cause and for the o...,91,proud;contribute;cause,General,no
2021-11-19-its-nice-when-you-still-feel-proud-about-your.md,It's nice when you still feel proud about your ...,86,it's;feel;proud,General,no
2021-12-02-not-directly-in-my-team-but-in-my-tribe-merch.md,"Not directly in my team, but in my Tribe (Merch...",70,team;directly;tribe;merch,Leadership & Culture,no
