file,title,word_count,proposed_tags,category
2022-09-30-a-very-interesting-and-unique-position-with-al.md,"A very interesting and unique position, with al...",56,interesting;unique;hiring;you;almost,Career & Hiring
2022-11-03-i-love-working-in-multi-cultural-environments.md,"I love working in multi cultural environments, ...",369,cultural;multi;not;understand;environments,General
2022-11-17-you-will-start-seeing-these-beauties-soon-at-th.md,You will start seeing these beauties soon at th...,78,you;start;seeing;beauties;hardware,General
2022-11-20-being-able-to-define-something-makes-conversati.md,Being able to define something makes conversati...,368,book;makes;how;being;way,Learning & Growth
2022-11-27-this-weekend-ive-got-to-play-with-midjourneys.md,This weekend I've got to play with Midjourney's...,292,systems;weekend;i've;play;midjourney's,Engineering & Product
2022-12-10-one-of-the-best-things-to-work-at-sumup-is-to-s.md,One of the best things to work at SumUp is to s...,213,merchant;can;sumup;businesses;them,Fintech & Business
2022-12-17-with-copenhagen-fully-covered-in-snow-and-ice-l.md,With Copenhagen fully covered in snow and ice l...,263,copenhagen;fully;covered;snow;ice,Work & Life
2023-01-02-interesting-to-see-how-a-piece-of-software-engi.md,Interesting to see how a piece of software engi...,195,how;see;debt;interesting;piece,General
2023-01-02-one-reflection-to-start-the-year-instead-of-se.md,One reflection to start the year: instead of se...,71,you;reflection;start;instead;not,General
2023-01-05-jodies-team-global-bank-is-really-global.md,"Jodie's team (Global Bank) is really global 🌏, ...",49,global;jodie's;banking;has;huge,Fintech & Business
2023-01-08-taking-some-time-off-and-resting-until-you-almo.md,Taking some time off and resting until you almo...,328,time;off;not;resting;until,General
2023-01-18-one-of-the-chores-i-did-this-holiday-break-wa.md,One of the \,168,was;you;participate;chores;did,General
2023-01-23-edited-as-this-is-not-coming-soon-but-yo.md,Edited✍️ - as this is not \,88,edited;not;podcast;sumup;coming,Fintech & Business
2023-02-02-the-first-follower-is-an-underestimated-form-of.md,The first follower is an underestimated form of...,71,follower;underestimated;form;idea;others,General
2023-02-12-dont-partner-with-cynics-and-pessimiststheir.md,Don’t partner with cynics and pessimists.Their ...,211,don;partner;cynics;pessimists;are,General
2023-02-19-genchi-genbutsu-go-and-see.md,Genchi Genbutsu: \,281,you;are;genchi;genbutsu;how,General
2023-02-23-with-the-surge-of-search-engines-we-had-the-ris.md,With the surge of Search Engines we had the ris...,88,engines;had;surge;search;chatgpt,General
2023-03-05-if-i-wouldnt-already-be-working-with-jan-alth.md,If I wouldn't already be working with Jan (alth...,64,wouldn't;jan;alth;interesting;you,General
2023-03-11-reading-primal-leadership-there-has-been-a-yes.md,Reading Primal Leadership there has been a \,177,leadership;reading;primal;has;humor,Leadership & Culture
2023-03-21-what-a-journey-rebuilding-a-technology-product.md,What a journey: rebuilding a technology product...,94,technology;product;journey;rebuilding;better,Engineering & Product
2023-03-22-while-one-could-think-why-celebrate-if-were-e.md,While one could think \,51,think;why;celebrate;we're;equal,General
2023-03-24-or-if-you-were-luckier-be-the-leader-that-yo.md,Or if you were luckier... be the leader that yo...,44,you;luckier;leadership;had;others,Leadership & Culture
2023-03-27-interactions-like-this-really-make-my-day-to-da.md,Interactions like this really make my day to da...,62,interactions;having;chance;meaningful;product,Engineering & Product
2023-04-14-it-was-really-nice-to-host-the-meetup-in-our-of.md,It was really nice to host the meetup in our of...,81,was;host;meetup;are;learnings,Events & Community
2023-04-29-im-a-big-fan-of-ted-lassonot-only-the-apple-t.md,I'm a big fan of Ted Lasso.Not only the Apple T...,457,his;ted;not;lasso;he's,General
2023-05-04-i-met-zahra-during-the-react-meetup-we-hosted-i.md,I met Zahra during the React meetup we hosted i...,59,met;zahra;react;meetup;hosted,Events & Community
2023-05-28-developing-our-empathy-to-be-better-colleagues-and.md,Developing our empathy to be better colleagues and leaders,560,empathy;can;are;better;leadership,Leadership & Culture
2023-05-28-ive-written-a-small-article-on-a-topic-i-usual.md,I've written a small article on a topic I usual...,94,you;i've;written;small;article,General
2023-06-07-it-was-a-delight-to-talk-with-elliot-from-engin.md,It was a delight to talk with Elliot from Engin...,78,was;delight;talk;elliot;engin,Events & Community
2023-06-22-when-someone-has-gone-from-zero-to-hero-in-cont.md,When someone has gone from zero to hero in cont...,83,has;gone;zero;hero;cont,General
2023-07-15-great-recap-by-our-david-of-the-results-of-the.md,Great recap by our David of the results of the ...,57,recap;david;results;invoices;product,Engineering & Product
2023-07-18-this-is-a-sad-outcome-although-not-surprising.md,This is a sad outcome - although not surprising...,163,you;sad;outcome;not;surprising,General
2023-07-26-new-podcast-announcement-this-was-a-quite-n.md,New podcast announcement 🎙️: This was a quite n...,79,podcast;was;announcement;distributed;chat,Events & Community
